,Player,Year,Salaries,Status,Z-Score Salary
213,Antawn Jamison,2002,3388176,UNC,-1.4205779510544418
214,Jalen Rose,2002,10865250,MICHIGAN,-0.5481309914521617
215,Stephon Marbury,2002,11250000,GATECH,-0.32716265402649797
216,Jamal Mashburn,2002,6975000,KENTUCKY,0.7071067811865475
217,Shawn Marion,2002,1778160,UNLV,-1.1169255291664506
218,Ray Allen,2002,11250000,UCONN,-0.29546474000873074
219,Steve Francis,2002,3473520,MARYLAND,-0.7556834111818203
220,Karl Malone,2002,17500000,LATECH,1.0
221,Gary Payton,2002,12926493,OREGONST,0.9166634914432321
222,Ricky Davis,2002,1496400,IOWA,-1.2750674810825693
223,Richard Hamilton,2002,2111640,UCONN,-1.1782083620656354
224,Shareef Abdur-Rahim,2002,11250000,CALIFORNIA,0.1602411862463668
225,Antoine Walker,2002,11250000,KENTUCKY,0.05283433547204993
226,Chris Webber,2002,12750000,MICHIGAN,-0.8907279194092291
227,Sam Cassell,2002,4350000,FLORIDAST,-0.46821191038994514
228,Jerry Stackhouse,2002,5843750,UNC,-0.3351373073640408
229,Gilbert Arenas,2002,332817,ARIZONA,-1.5169482554730225
230,Jason Kidd,2002,8447500,CALIFORNIA,-0.85337497843981
231,Steve Nash,2002,5750000,SANTACLARA,-1.0105131633232654
232,Glenn Robinson,2002,8990000,PURDUE,0.7071067811865476
233,Juwan Howard,2002,18750000,MICHIGAN,0.9114227071132471
234,Jason Terry,2002,1689360,ARIZONA,-1.2774990244755648
235,Matt Harpring,2002,1908401,GATECH,-1.0221315337574906
236,Rasheed Wallace,2002,14400000,UNC,0.5982152423991091
237,Michael Finley,2002,10625000,WISCONSIN,-0.9002471208406599
238,Kenyon Martin,2002,3801960,CINCY,-0.7129305584834142
239,Jason Richardson,2002,2425440,MICHIGANST,-1.1010424878090441
240,Cuttino Mobley,2002,4413375,RHODEISLE,-0.8453851512319644
241,Richard Jefferson,2002,1379400,ARIZONA,-1.1344465478456753
242,Michael Redd,2002,465850,OHIOST,-0.9846264873567435
243,David Wesley,2002,3240000,BAYLOR,-0.21645482913637396
