,Player,Year,Status,Points Per Game,Assists Per Game,Rebounds Per Game,Goals Made Per Game
91,Antonio Daniels,2000,Professional,9.430379746835444,3.848101265822785,2.0632911392405062,3.481012658227848
92,Howard Eisley,2000,Professional,9.036585365853659,3.597560975609756,2.402439024390244,3.231707317073171
93,George McCloud,2000,Professional,9.592105263157896,3.6710526315789473,2.9473684210526314,3.289473684210526
94,Tyrone Hill,2000,Professional,9.578947368421053,0.631578947368421,9.039473684210526,3.6578947368421053
95,Christian Laettner,2000,Professional,9.333333333333334,1.5897435897435896,4.67948717948718,3.551282051282051
96,Kevin Willis,2000,Professional,9.256410256410257,0.6410256410256411,6.82051282051282,3.8974358974358974
97,Jason Williams,2000,Professional,9.35064935064935,5.402597402597403,2.4025974025974026,3.6493506493506493
98,Chauncey Billups,2000,Professional,9.25974025974026,3.3766233766233764,2.051948051948052,3.220779220779221
99,Shandon Anderson,2000,Professional,8.658536585365853,2.3048780487804876,4.060975609756097,3.207317073170732
100,Michael Olowokandi,2000,Professional,8.548780487804878,0.5609756097560976,6.402439024390244,3.7560975609756095
101,John Starks,2000,Professional,9.32,2.3733333333333335,2.0533333333333332,3.64
102,George Lynch,2000,Professional,8.365853658536585,1.6951219512195121,7.195121951219512,3.341463414634146
103,Lucious Harris,2000,Professional,9.356164383561644,1.8493150684931507,3.9452054794520546,3.6301369863013697
104,Marcus Fizer,2000,Professional,9.48611111111111,1.0555555555555556,4.347222222222222,3.861111111111111
105,P.J. Brown,2000,Professional,8.45,1.5875,9.275,3.1125
106,Fred Hoiberg,2000,Professional,9.094594594594595,3.554054054054054,4.162162162162162,2.9324324324324325
107,James Posey,2000,Professional,8.121951219512194,1.9878048780487805,5.2560975609756095,2.9634146341463414
108,Othella Harrington,2000,Professional,8.986486486486486,0.7567567567567568,5.243243243243243,3.3378378378378377
109,Horace Grant,2000,Professional,8.532467532467532,1.5714285714285714,7.077922077922078,3.4155844155844157
110,John Amaechi,2000,Professional,7.926829268292683,0.9024390243902439,3.268292682926829,2.8902439024390243
111,Keon Clark,2000,Professional,7.901234567901234,0.8888888888888888,5.3580246913580245,3.074074074074074
112,Mark Jackson,2000,Professional,7.602409638554217,7.963855421686747,3.674698795180723,2.9397590361445785
113,Pat Garrity,2000,Professional,8.263157894736842,0.6710526315789473,2.763157894736842,2.9342105263157894
114,Bruce Bowen,2000,Professional,7.597560975609756,1.6097560975609757,2.9878048780487805,2.573170731707317
115,Bryant Reeves,2000,Professional,8.293333333333333,1.0666666666666667,6.026666666666666,3.3866666666666667
116,Quentin Richardson,2000,Professional,8.06578947368421,0.8157894736842105,3.3815789473684212,3.0526315789473686
117,Vitaly Potapenko,2000,Professional,7.451219512195122,0.7804878048780488,6.036585365853658,3.024390243902439
118,Danny Manning,2000,Professional,7.353658536585366,1.1219512195121952,2.6097560975609757,3.0121951219512195
119,Walt Williams,2000,Professional,8.319444444444445,1.3472222222222223,3.4027777777777777,2.8055555555555554
120,Bo Outlaw,2000,Professional,7.275,2.8125,7.7375,2.825
121,Dale Davis,2000,Professional,7.160493827160494,1.271604938271605,7.481481481481482,2.9876543209876543
122,Shawn Bradley,2000,Professional,7.060975609756097,0.4634146341463415,7.414634146341464,2.6707317073170733
123,Terry Porter,2000,Professional,7.1625,3.1375,2.5125,2.4625
124,Bobby Jackson,2000,Professional,7.1645569620253164,2.037974683544304,3.1139240506329116,2.9240506329113924
125,Moochie Norris,2000,Professional,6.634146341463414,3.451219512195122,2.4146341463414633,2.2439024390243905
126,Eric Williams,2000,Professional,6.604938271604938,1.382716049382716,2.5555555555555554,2.0
127,Kenny Thomas,2000,Professional,7.135135135135135,1.0405405405405406,5.635135135135135,2.7837837837837838
128,Ben Wallace,2000,Professional,6.3875,1.5375,13.15,2.6875
129,Jason Caffey,2000,Professional,7.142857142857143,0.7571428571428571,5.042857142857143,2.557142857142857
130,Scot Pollard,2000,Professional,6.467532467532467,0.6103896103896104,6.038961038961039,2.4025974025974026
131,Jacque Vaughn,2000,Professional,6.073170731707317,3.9390243902439024,1.829268292682927,2.073170731707317
